coord,country,geoname,id,langs,name,stat,stations,zoom,latf,lngf,maxtf,mints,humidf,speedf,cloudf,sunrise,sunset,Daylight
"{'lon': 112.97139, 'lat': 34.759998}",CN,"{'cl': 'P', 'code': 'PPL', 'parent': 1808520}",1789897.0,[{'link': 'http://en.wikipedia.org/wiki/Gongyi'}],Gongyi,"{'level': 1.0, 'population': 56033}","[{'id': 7422, 'dist': 84, 'kf': 1}]",9.0,34.75,112.98,99.73,99.73,34,6.38,87,1563744604,1563795514,14.141666666666667
"{'lon': -121.4944, 'lat': 38.58157}",US,"{'cl': 'P', 'code': 'PPLA', 'parent': 5389519}",5389489.0,"[{'bg': 'Ð¡Ð°ÐºÑ\x80Ð°Ð¼ÐµÐ½Ñ\x82Ð¾'}, {'ca': 'Sacramento'}, {'cs': 'Sacramento'}, {'da': 'Sacramento'}, {'de': 'Sacramento'}, {'en': 'Sacramento'}, {'eo': 'Sakramento'}, {'es': 'Sacramento'}, {'et': 'Sacramento'}, {'eu': 'Sacramento'}, {'fi': 'Sacramento'}, {'fr': 'Sacramento'}, {'he': '×¡×§×¨×\x9e×\xa0×\x98×\x95'}, {'io': 'Sacramento'}, {'is': 'Sacramento'}, {'it': 'Sacramento'}, {'ja': 'ã\x82µã\x82¯ã\x83©ã\x83¡ã\x83³ã\x83\x88'}, {'lb': 'Sacramento'}, {'link': 'http://en.wikipedia.org/wiki/Sacramento%2C_California'}, {'lt': 'Sakramentas'}, {'nl': 'Sacramento'}, {'nn': 'Sacramento'}, {'no': 'Sacramento'}, {'oc': 'Sacramento'}, {'pl': 'Sacramento'}, {'post': '94295'}, {'pt': 'Sacramento'}, {'ro': 'Sacramento'}, {'ru': 'Ð¡Ð°ÐºÑ\x80Ð°Ð¼ÐµÐ½Ñ\x82Ð¾'}, {'sk': 'Sacramento'}, {'sv': 'Sacramento'}, {'tg': 'Ð¡Ð°ÐºÑ\x80Ð°Ð¼ÐµÐ½Ñ\x82Ð¾'}, {'vi': 'Sacramento'}, {'zh': 'æ²\x99å\x8a\xa0ç·¬åº¦'}]",Sacramento,"{'level': 1.0, 'population': 466488}","[{'id': 378, 'dist': 29, 'kf': 1}, {'id': 408, 'dist': 24, 'kf': 1}, {'id': 422, 'dist': 12, 'kf': 1}, {'id': 464, 'dist': 7, 'kf': 1}, {'id': 468, 'dist': 15, 'kf': 1}, {'id': 9826, 'dist': 21, 'kf': 1}, {'id': 30737, 'dist': 19, 'kf': 1}, {'id': 31183, 'dist': 7, 'kf': 1}, {'id': 31923, 'dist': 23, 'kf': 1}, {'id': 31968, 'dist': 20, 'kf': 1}, {'id': 32130, 'dist': 11, 'kf': 1}, {'id': 32268, 'dist': 18, 'kf': 1}, {'id': 32929, 'dist': 1, 'kf': 1}, {'id': 32969, 'dist': 17, 'kf': 1}, {'id': 33219, 'dist': 16, 'kf': 1}, {'id': 34066, 'dist': 8, 'kf': 1}, {'id': 34449, 'dist': 21, 'kf': 1}, {'id': 34586, 'dist': 6, 'kf': 1}, {'id': 35271, 'dist': 12, 'kf': 1}, {'id': 35715, 'dist': 14, 'kf': 1}]",7.0,38.58,-121.49,80.01,68.0,44,5.82,1,1563713889,1563765972,14.4675
"{'lon': 79.183327, 'lat': 27.5}",IN,"{'cl': 'P', 'code': 'PPL', 'parent': 1253626}",1279023.0,[{'link': 'http://en.wikipedia.org/wiki/Aliganj'}],Aliganj,"{'level': 1.0, 'population': 26652}",,10.0,27.49,79.17,100.09,100.09,39,6.53,42,1563753655,1563802693,13.621666666666666
"{'lon': -5.74952, 'lat': 37.373009}",ES,"{'cl': 'P', 'code': 'PPL', 'parent': 6361013}",2514288.0,,Mairena del Alcor,"{'level': 1.0, 'population': 20510}","[{'id': 5491, 'dist': 25, 'kf': 1}, {'id': 5511, 'dist': 13, 'kf': 1}, {'id': 30017, 'dist': 27, 'kf': 1}, {'id': 30103, 'dist': 15, 'kf': 1}, {'id': 30812, 'dist': 23, 'kf': 1}, {'id': 31622, 'dist': 21, 'kf': 1}, {'id': 32272, 'dist': 24, 'kf': 1}]",11.0,37.37,-5.75,75.99,71.6,73,1.48,0,1563772731,1563824379,14.346666666666666
"{'lon': -86.105797, 'lat': 33.43594}",US,"{'cl': 'P', 'code': 'PPLA2', 'parent': 4092795}",4092788.0,"[{'link': 'http://en.wikipedia.org/wiki/Talladega%2C_Alabama'}, {'post': '35161'}]",Talladega,"{'level': 1.0, 'population': 15676}","[{'id': 198, 'dist': 49, 'kf': 1}, {'id': 202, 'dist': 28, 'kf': 1}, {'id': 9632, 'dist': 48, 'kf': 1}, {'id': 9949, 'dist': 44, 'kf': 1}, {'id': 29824, 'dist': 23, 'kf': 1}, {'id': 30331, 'dist': 39, 'kf': 1}, {'id': 30772, 'dist': 15, 'kf': 1}, {'id': 30852, 'dist': 33, 'kf': 1}, {'id': 31537, 'dist': 21, 'kf': 1}, {'id': 32870, 'dist': 44, 'kf': 1}, {'id': 33008, 'dist': 22, 'kf': 1}, {'id': 35072, 'dist': 49, 'kf': 1}]",9.0,33.44,-86.11,77.0,71.01,88,4.7,40,1563792589,1563843096,14.029722222222222
"{'lon': 47.267899, 'lat': 32.694099}",IR,"{'cl': 'P', 'code': 'PPL', 'parent': 130801}",136702.0,"[{'fa': 'Ø¯Ù\x90Ù\x87 Ù\x84Ù\x8fÙ\x88Ø§Ù\x86'}, {'link': 'http://en.wikipedia.org/wiki/Dehloran'}, {'ru': 'Ð\x94ÐµÑ\x85Ð»Ð¾Ñ\x80Ð°Ð½Ð°'}]",Dehloran,"{'level': 1.0, 'population': 46002}",,8.0,32.69,47.27,104.77,104.77,7,5.21,0,1563760663,1563810997,13.981666666666667
"{'lon': 7.90329, 'lat': 47.349991}",CH,"{'cl': 'P', 'code': 'PPLA2', 'parent': 7286738}",2659297.0,"[{'de': 'Olten'}, {'en': 'Olten'}, {'es': 'Olten'}, {'fr': 'Olten'}, {'it': 'Olten'}, {'link': 'http://en.wikipedia.org/wiki/Olten'}, {'pl': 'Olten'}, {'pt': 'Olten'}, {'sv': 'Olten'}]",Olten,"{'level': 1.0, 'population': 16411}","[{'id': 4922, 'dist': 39, 'kf': 1}, {'id': 5646, 'dist': 38, 'kf': 1}, {'id': 6007, 'dist': 38, 'kf': 1}, {'id': 6008, 'dist': 38, 'kf': 1}, {'id': 9654, 'dist': 5, 'kf': 1}, {'id': 9718, 'dist': 24, 'kf': 1}, {'id': 9827, 'dist': 25, 'kf': 1}, {'id': 10260, 'dist': 41, 'kf': 1}, {'id': 10828, 'dist': 34, 'kf': 1}, {'id': 32476, 'dist': 12, 'kf': 1}, {'id': 32975, 'dist': 46, 'kf': 1}, {'id': 33733, 'dist': 26, 'kf': 1}, {'id': 34738, 'dist': 12, 'kf': 1}, {'id': 35009, 'dist': 42, 'kf': 1}, {'id': 35148, 'dist': 40, 'kf': 1}, {'id': 35477, 'dist': 32, 'kf': 1}, {'id': 35988, 'dist': 26, 'kf': 1}]",10.0,47.35,7.9,71.01,63.0,100,1.12,0,1563767641,1563822917,15.354444444444445
"{'lon': -0.15919, 'lat': 51.174229}",GB,"{'cl': 'P', 'code': 'PPL', 'parent': 2639505}",2646606.0,[{'link': 'http://en.wikipedia.org/wiki/Horley'}],Horley,"{'level': 1.0, 'population': 21232}","[{'id': 5088, 'dist': 21, 'kf': 1}, {'id': 5089, 'dist': 3, 'kf': 1}, {'id': 5187, 'dist': 23, 'kf': 1}, {'id': 8653, 'dist': 2, 'kf': 1}, {'id': 9031, 'dist': 23, 'kf': 1}, {'id': 9889, 'dist': 18, 'kf': 1}, {'id': 27986, 'dist': 18, 'kf': 1}, {'id': 29245, 'dist': 26, 'kf': 1}, {'id': 29619, 'dist': 20, 'kf': 1}, {'id': 30445, 'dist': 27, 'kf': 1}, {'id': 31067, 'dist': 26, 'kf': 1}, {'id': 31271, 'dist': 16, 'kf': 1}, {'id': 32725, 'dist': 38, 'kf': 1}, {'id': 33080, 'dist': 30, 'kf': 1}, {'id': 33202, 'dist': 34, 'kf': 1}, {'id': 33553, 'dist': 35, 'kf': 1}, {'id': 33741, 'dist': 32, 'kf': 1}, {'id': 33769, 'dist': 16, 'kf': 1}, {'id': 35210, 'dist': 33, 'kf': 1}, {'id': 35266, 'dist': 17, 'kf': 1}]",11.0,51.17,-0.16,64.99,60.8,93,6.93,20,1563768651,1563825776,15.868055555555555
"{'lon': 4.88333, 'lat': 52.084999}",NL,"{'cl': 'P', 'code': 'PPL', 'parent': 2744247}",2744248.0,"[{'de': 'Woerden'}, {'en': 'Woerden'}, {'fr': 'Woerden'}, {'id': 'Woerden'}, {'it': 'Woerden'}, {'li': 'Woerden'}, {'link': 'http://en.wikipedia.org/wiki/Woerden'}, {'nl': 'Woerden'}, {'pl': 'Woerden'}, {'ru': 'Ð\x92ÐµÑ\x80Ð´ÐµÐ½'}, {'sv': 'Woerden'}]",Woerden,"{'level': 1.0, 'population': 48431}","[{'id': 5204, 'dist': 26, 'kf': 1}, {'id': 9755, 'dist': 27, 'kf': 1}, {'id': 27727, 'dist': 21, 'kf': 1}, {'id': 27841, 'dist': 27, 'kf': 1}, {'id': 27892, 'dist': 33, 'kf': 1}, {'id': 29167, 'dist': 25, 'kf': 1}, {'id': 29264, 'dist': 16, 'kf': 1}, {'id': 29384, 'dist': 39, 'kf': 1}, {'id': 29868, 'dist': 28, 'kf': 1}, {'id': 30266, 'dist': 20, 'kf': 1}, {'id': 30741, 'dist': 29, 'kf': 1}, {'id': 31742, 'dist': 24, 'kf': 1}, {'id': 32072, 'dist': 35, 'kf': 1}, {'id': 32435, 'dist': 14, 'kf': 1}, {'id': 32538, 'dist': 30, 'kf': 1}, {'id': 33605, 'dist': 24, 'kf': 1}, {'id': 33992, 'dist': 22, 'kf': 1}, {'id': 34428, 'dist': 17, 'kf': 1}, {'id': 35229, 'dist': 14, 'kf': 1}, {'id': 35570, 'dist': 21, 'kf': 1}]",9.0,52.09,4.89,66.99,62.01,77,11.41,0,1563767185,1563824818,16.009166666666665
"{'lon': -56.451389, 'lat': -30.387501}",BR,"{'cl': 'P', 'code': 'PPL', 'parent': 3451133}",3452179.0,,Quarai,"{'level': 1.0, 'population': 23229}","[{'id': 4594, 'dist': 88, 'kf': 1}]",13.0,-30.39,-56.45,67.33,67.33,77,8.55,66,1563791879,1563829568,10.469166666666666
